"cve","descrip"
"01","Aguascalientes"
"02","Baja california"
"03","Baja california sur"
"04","Campeche"
"05","Coahuila de zaragoza"
"06","Colima"
"07","Chiapas"
"08","Chihuahua"
"09","Ciudad de méxico"
"10","Durango"
"11","Guanajuato"
"12","Guerrero"
"13","Hidalgo"
"14","Jalisco"
"15","Estado de méxico"
"16","Michoacán de ocampo"
"17","Morelos"
"18","Nayarit"
"19","Nuevo león"
"20","Oaxaca"
"21","Puebla"
"22","Querétaro"
"23","Quintana roo"
"24","San luis potosí"
"25","Sinaloa"
"26","Sonora"
"27","Tabasco"
"28","Tamaulipas"
"29","Tlaxcala"
"30","Veracruz de ignacio de la llave"
"31","Yucatán"
"32","Zacatecas"
